,anime_id,title,image_url,genre
62,153,Juuni Kokuki,https://myanimelist.cdn-dena.com/images/anime/6/50859.jpg,"Action, Adventure, Fantasy, Magic, Supernatural"
63,27417,Diabolik Lovers OVA,https://myanimelist.cdn-dena.com/images/anime/12/74238.jpg,"Harem, School, Vampire, Shoujo"
64,5588,Ko Ko Ro,https://myanimelist.cdn-dena.com/images/anime/6/11545.jpg,Hentai
65,23903,Tuzki: Love Assassin,https://myanimelist.cdn-dena.com/images/anime/6/61931.jpg,"Comedy, Romance"
66,13247,Lupin III: Lupin Ikka Seizoroi,https://myanimelist.cdn-dena.com/images/anime/2/46379.jpg,"Adventure, Comedy, Seinen"
67,33398,Neko Konogoro,https://myanimelist.cdn-dena.com/images/anime/1877/91297.jpg,Comedy
68,1051,Ao no 6-gou,https://myanimelist.cdn-dena.com/images/anime/3/20750.jpg,"Action, Adventure, Mecha, Military, Sci-Fi"
69,12447,Ben-To Picture Drama,https://myanimelist.cdn-dena.com/images/anime/13/34953.jpg,Comedy
70,3294,Gasshin Sentai Mechander Robo,https://myanimelist.cdn-dena.com/images/anime/9/29474.jpg,"Space, Mecha, Military, Mystery, Sci-Fi"
71,1381,Seikai no Monshou Special,https://myanimelist.cdn-dena.com/images/anime/9/2753.jpg,"Action, Military, Romance, Sci-Fi, Space"
72,8022,Tegamibachi Gakuen,https://myanimelist.cdn-dena.com/images/anime/4/19573.jpg,Comedy
73,32666,Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,https://myanimelist.cdn-dena.com/images/anime/3/78398.jpg,Comedy
74,33775,Soul Buster,https://myanimelist.cdn-dena.com/images/anime/3/82256.jpg,"Action, Samurai"
75,20667,Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,https://myanimelist.cdn-dena.com/images/anime/2/54731.jpg,"Mecha, Military"
76,37447,Karakuri Circus,https://myanimelist.cdn-dena.com/images/anime/1292/91218.jpg,"Adventure, Mystery, Shounen"
77,35277,Nanumu no Ie,https://myanimelist.cdn-dena.com/images/anime/4/84973.jpg,"Drama, Historical"
78,14353,Death Billiards,https://myanimelist.cdn-dena.com/images/anime/11/48721.jpg,"Game, Mystery, Psychological, Drama, Thriller"
79,32747,Fake Style II,https://myanimelist.cdn-dena.com/images/anime/6/78575.jpg,Music
80,5235,Live On Cardliver Kakeru,https://myanimelist.cdn-dena.com/images/anime/9/21028.jpg,"Game, Fantasy"
81,8154,Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!,https://myanimelist.cdn-dena.com/images/anime/5/27356.jpg,"Adventure, Comedy, Fantasy, Horror, Supernatural"
82,5117,Kokudo Oh,https://myanimelist.cdn-dena.com/images/anime/4/23816.jpg,"Fantasy, Hentai"
83,26443,Triage X,https://myanimelist.cdn-dena.com/images/anime/8/73682.jpg,"Action, Adventure, Ecchi, Shounen"
84,16251,Shinkai no Kantai: Submarine 707,https://myanimelist.cdn-dena.com/images/anime/6/43741.jpg,"Action, Adventure, Military, Sci-Fi"
85,6777,Densha Kamo Shirenai,https://myanimelist.cdn-dena.com/images/anime/11/15638.jpg,Music
86,35594,Ylion to Callysia,https://myanimelist.cdn-dena.com/images/anime/8/85786.jpg,"Action, Fantasy"
87,36847,Nanatsu no Bitoku,https://myanimelist.cdn-dena.com/images/anime/9/89129.jpg,"Ecchi, Fantasy"
88,29765,Metropolis (2009),https://myanimelist.cdn-dena.com/images/anime/12/71619.jpg,
89,32561,Hai to Gensou no Grimgar Special,https://myanimelist.cdn-dena.com/images/anime/11/78160.jpg,Comedy
90,24275,Medamayaki no Kimi Itsu Tsubusu?,https://myanimelist.cdn-dena.com/images/anime/9/62711.jpg,"Comedy, Seinen"
91,29363,Watashi no Ashinaga Ojisan Specials,https://myanimelist.cdn-dena.com/images/anime/9/70611.jpg,"Comedy, Romance, School, Shoujo, Slice of Life"
92,3669,Duel Masters Movie 1: Yami no Shiro no Maryuuou,https://myanimelist.cdn-dena.com/images/anime/9/22612.jpg,"Adventure, Kids"
93,1811,Bounty Dog: Getsumen no Ibu,https://myanimelist.cdn-dena.com/images/anime/10/27945.jpg,"Action, Sci-Fi, Space"
94,5036,Hurricane Live! 2033,https://myanimelist.cdn-dena.com/images/anime/5/24446.jpg,Music
